No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
35,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Berjerawat,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,YES,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
36,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Sensitif,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,NO,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
37,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Normal,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
38,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Kering,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
39,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Kombinasi,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
40,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Berminyak,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
41,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Berjerawat,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
42,Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum,Wardah,Kulit Sensitif,"Tanda penuaan dini, Kerutan, Tekstur kulit kasar","1% Retinol Microcapsule, 3% Ceramide Actosome, Matrixyl Peptide, Hyaluronic",1,0,1,1,1,1,1,1,1,NO,C:\project\static\Images\Serum\Wardah Renew You 1% Retinol Microcapsule Ceramide Cell Renewal Serum.png
43,Lift Regenerating Serum,Wardah,Kulit Normal,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
44,Lift Regenerating Serum,Wardah,Kulit Kering,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
45,Lift Regenerating Serum,Wardah,Kulit Kombinasi,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
46,Lift Regenerating Serum,Wardah,Kulit Berminyak,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
47,Lift Regenerating Serum,Wardah,Kulit Berjerawat,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
48,Lift Regenerating Serum,Wardah,Kulit Sensitif,"Kontur wajah turun, Elastisitas berkurang","Exosome, PDRN, EGF",1,1,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Lift Regenerating Serum.png
49,Lightening Serum Ampoule,Wardah,Kulit Normal,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
50,Lightening Serum Ampoule,Wardah,Kulit Kering,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
51,Lightening Serum Ampoule,Wardah,Kulit Kombinasi,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
52,Lightening Serum Ampoule,Wardah,Kulit Berminyak,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
53,Lightening Serum Ampoule,Wardah,Kulit Berjerawat,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
54,Lightening Serum Ampoule,Wardah,Kulit Sensitif,"Kusam, Noda hitam, Rusak akibat radikal bebas","Vitamin B3, Vitamin E, Extra Aloe Vera, Hyaluronic Acid",1,0,1,1,1,1,1,1,0,NO,C:\project\static\Images\Serum\Wardah Lightening Serum Ampoule.png
55,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Normal,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,YES,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
