No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
58,Miraculous Retinol Toner,Avoskin,Kulit Berminyak,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
59,Miraculous Retinol Toner,Avoskin,Kulit Berjerawat,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
60,Miraculous Retinol Toner,Avoskin,Kulit Sensitif,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
61,Miraculous Refining Toner,Avoskin,Kulit Normal,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
62,Miraculous Refining Toner,Avoskin,Kulit Kering,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
63,Miraculous Refining Toner,Avoskin,Kulit Kombinasi,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
64,Miraculous Refining Toner,Avoskin,Kulit Berminyak,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
65,Miraculous Refining Toner,Avoskin,Kulit Berjerawat,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
66,Miraculous Refining Toner,Avoskin,Kulit Sensitif,"Kusam, Komedo, Pori Besar, Sel Kulit Mati","AHA-BHA-PHA-PGA, Niacinamide, Tea Tree, Witch Hazel, Aloe Vera",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Toner\Avoskin Miraculous Refining Toner.png
67,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Normal,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
