No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
50,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Berminyak,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
51,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Berjerawat,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
52,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Sensitif,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
53,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Kering,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
54,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Kombinasi,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
55,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Normal,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
56,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Berjerawat,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
57,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Berminyak,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
58,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Kombinasi,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
59,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Kering,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
60,Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser,Wardah,Kulit Sensitif,"Sensitif, Iritasi ringan, Kulit dehidrasi","Heartleaf, NMF Amino",1,1,0,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Heartleaf + 8X NMF Amino Calm & Soothe Gel Cleanser.png
61,Renew You Facial Wash,Wardah,Kulit Normal,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
