No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
26,C-Defense Mousse Moisturizer,Wardah,Kulit Kering,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
27,C-Defense Mousse Moisturizer,Wardah,Kulit Berminyak,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
28,C-Defense Mousse Moisturizer,Wardah,Kulit Kombinasi,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
29,C-Defense Mousse Moisturizer,Wardah,Kulit Sensitif,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,NO,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
30,C-Defense Mousse Moisturizer,Wardah,Kulit Berjerawat,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
31,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Normal,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
32,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Kering,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
33,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Berminyak,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,NO,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
34,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Kombinasi,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
35,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Sensitif,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,NO,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
36,Crystallure Supreme Revitalizing Rich Cream,Wardah,Kulit Berjerawat,"Penuaan, Kusam, Elastisitas turun","Gold Peptide Crystals, YouthGlow Active, SPF 35 PA+++",1,0,1,0,1,1,1,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Crystallure Superme Revitalizing Rich Cream.png
37,Renew You Day Cream,Wardah,Kulit Normal,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
38,Renew You Day Cream,Wardah,Kulit Kering,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
39,Renew You Day Cream,Wardah,Kulit Berminyak,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,NO,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
